NUMT,NUMCAPITALS,NUMCITIES,Performance
1,331,2,54.275
1,331,3,60.317
1,331,4,66.216
1,331,5,71.188
1,331,10,85.45
1,331,15,92.715
1,331,20,97.882
1,331,30,102.209
1,331,40,106.47
1,331,50,110.711
2,331,2,54.172
2,331,3,60.799
2,331,4,65.724
2,331,5,71.374
2,331,10,84.727
2,331,15,92.656
2,331,20,95.789
2,331,30,105.241
2,331,40,106.815
2,331,50,113.048
4,331,2,54.232
4,331,3,61.362
4,331,4,66.679
4,331,5,70.611
4,331,10,47.618
4,331,15,93.361
4,331,20,97.188
4,331,30,106.285
4,331,40,110.618
4,331,50,108.125
6,331,2,53.323
6,331,3,61.826
6,331,4,68.143
6,331,5,69.256
6,331,10,83.436
6,331,15,91.745
6,331,20,96.617
6,331,30,105.497
6,331,40,108.44
6,331,50,112.137
8,331,2,54.073
8,331,3,61.104
8,331,4,66.731
8,331,5,71.923
8,331,10,88.99
8,331,15,82
8,331,20,95.306
8,331,30,103.042
8,331,40,109.595
8,331,50,108.387
